address,total_gonka,e306,e307,e309
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,45002.842625,17188.979445,19045.897357,8767.965823
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,27081.229516,13929.250106,13151.979410,0.000000
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,10752.097867,5296.843092,5455.254776,0.000000
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,9348.214481,0.000000,3587.802990,5760.411491
gonka1gtdrqh9jpkqxdaskxkpwjpy2q284q8qnvg58uj,9007.313194,2819.194083,6188.119112,0.000000
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,7827.216214,100.147962,7727.068252,0.000000
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,7754.878837,0.000000,7754.878837,0.000000
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,6449.817684,3370.297320,0.000000,3079.520364
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,5784.283093,268.604939,5515.678154,0.000000
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,5654.647873,173.666987,5480.980887,0.000000
gonka16j7xfk3hvguy5gz95mzg3p5dkuwla7aux03kdw,5614.918581,94.359063,5520.559519,0.000000
gonka1skw86pm4dvfhzslu5a9gsc98ahspalge8rprp4,5546.181337,104.779082,5441.402255,0.000000
gonka1aw77zuy536tufqd56zfq6ev3234u5ftty0zkte,5545.625986,0.000000,5545.625986,0.000000
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,5545.062683,2136.682825,3408.379858,0.000000
gonka1ujg4pt8crhxdymnsatalzdj0hhkgfqjmlp9zel,5533.752396,0.000000,5533.752396,0.000000
gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d,5310.157561,5310.157561,0.000000,0.000000
gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,3368.636074,0.000000,0.000000,3368.636074
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2248.987477,2248.987477,0.000000,0.000000
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1706.210826,496.687582,521.778298,687.744946
