address,weight,confirmation_weight,confirm_ratio_pct,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,29693,4724,15.91,17188979444568,17188.9794,0,0.0000,17188979444568,17188.9794
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,24062,4805,19.97,13929250105924,13929.2501,0,0.0000,13929250105924,13929.2501
gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d,9173,0,0.0,5310157560537,5310.1576,0,0.0000,5310157560537,5310.1576
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,24804,17394,70.13,14358786452802,14358.7865,9061943361239,9061.9434,5296843091563,5296.8431
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,12012,2194,18.27,6953626143810,6953.6261,3583328823691,3583.3288,3370297320119,3370.2973
gonka1gtdrqh9jpkqxdaskxkpwjpy2q284q8qnvg58uj,9202,4814,52.31,5326945369242,5326.9454,2507751286628,2507.7513,2819194082614,2819.1941
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,3885,1307,33.64,2248987476581,2248.9875,0,0.0000,2248987476581,2248.9875
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,41468,36235,87.38,24005408668957,24005.4087,21868725843716,21868.7258,2136682825241,2136.6828
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,5841,4818,82.49,3381296229270,3381.2962,2884608647569,2884.6086,496687581701,496.6876
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,7880,9270,117.64,4561652848253,4561.6528,4293047908965,4293.0479,268604939288,268.6049
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,8407,9008,107.15,4866727854729,4866.7279,4693060868121,4693.0609,173666986608,173.6670
gonka1skw86pm4dvfhzslu5a9gsc98ahspalge8rprp4,8329,9052,108.68,4821574438211,4821.5744,4716795356290,4716.7954,104779081921,104.7791
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,11768,5916,50.27,6812376994701,6812.3770,6712229032424,6712.2290,100147962277,100.1480
gonka16j7xfk3hvguy5gz95mzg3p5dkuwla7aux03kdw,8229,8963,108.92,4763685442675,4763.6854,4669326379951,4669.3264,94359062724,94.3591
gonka1ujg4pt8crhxdymnsatalzdj0hhkgfqjmlp9zel,8150,9054,111.09,4717953136201,4717.9531,4717953136201,4717.9531,0,0.0000
