address,weight,confirmation_weight,confirm_ratio_pct,reconstructed,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,28873,983,3.4,False,18182017394151,18182.0174,0,0.0000,18182017394151,18182.0174
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,19938,4995,25.05,False,12555434586104,12555.4346,0,0.0000,12555434586104,12555.4346
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,11756.16,0,0.0,True,7403134610481,7403.1346,0,0.0000,7403134610481,7403.1346
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,11714,1053,8.99,False,7376585451982,7376.5855,0,0.0000,7376585451982,7376.5855
gonka1gtdrqh9jpkqxdaskxkpwjpy2q284q8qnvg58uj,9381,0,0.0,False,5907439655544,5907.4397,0,0.0000,5907439655544,5907.4397
gonka1aw77zuy536tufqd56zfq6ev3234u5ftty0zkte,8407,0,0.0,False,5294088602938,5294.0886,0,0.0000,5294088602938,5294.0886
gonka1ujg4pt8crhxdymnsatalzdj0hhkgfqjmlp9zel,8389,0,0.0,False,5282753573218,5282.7536,0,0.0000,5282753573218,5282.7536
gonka16j7xfk3hvguy5gz95mzg3p5dkuwla7aux03kdw,8369,0,0.0,False,5270159095752,5270.1591,0,0.0000,5270159095752,5270.1591
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,8361.6,0,0.0,True,5265499139089,5265.4991,0,0.0000,5265499139089,5265.4991
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,8309,0,0.0,False,5232375663353,5232.3757,0,0.0000,5232375663353,5232.3757
gonka1skw86pm4dvfhzslu5a9gsc98ahspalge8rprp4,8249,0,0.0,False,5194592230954,5194.5922,0,0.0000,5194592230954,5194.5922
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,16287,8908,54.69,False,10256312724640,10256.3127,5288364877618,5288.3649,4967947847022,4967.9478
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,11528,5579,48.4,False,7259456811546,7259.4568,4016571503033,4016.5715,3242885308513,3242.8853
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,41105,34864,84.82,False,25884799812509,25884.7998,23706281273775,23706.2813,2178518538734,2178.5185
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,5311,4572,86.09,False,3344463491162,3344.4635,2981590276516,2981.5903,362873214646,362.8732
